City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,east london,-33.0153,27.9116,17.8,70,55,3.71,ZA,1688414954
84,college,64.8569,-147.8028,24.77,39,75,0.89,US,1688414931
85,kuala belait,4.5833,114.1833,23.97,90,100,2.4,BN,1688414955
86,northam,51.0333,-4.2167,15.34,78,60,7.58,GB,1688414955
87,nova londrina,-22.7658,-52.985,22.83,57,4,4.16,BR,1688414934
88,tyre,33.2733,35.1939,25.67,81,0,0.21,LB,1688414956
89,mermoz boabab,14.7065,-17.4758,30.31,80,100,5.56,SN,1688414956
90,hinton,53.4001,-117.5857,9.32,92,100,2.75,CA,1688414957
91,villa gesell,-37.2639,-56.973,16.14,87,100,2.27,AR,1688414957
92,colonia,50.9333,6.95,19.93,56,0,3.6,DE,1688414922
93,bratsk,56.1325,101.6142,14.27,93,100,3.67,RU,1688414957
94,awjilah,29.1081,21.2869,28.16,43,0,6.09,LY,1688414958
95,labytnangi,66.6572,66.4183,16.56,92,37,2.08,RU,1688414958
96,lihue,21.9789,-159.3672,27.77,72,75,3.6,US,1688414958
97,belozersk,60.0326,37.7957,12.72,83,62,3.95,RU,1688414958
98,igarka,67.4667,86.5833,14.83,80,100,2.11,RU,1688414959
99,luderitz,-26.6481,15.1594,18.48,55,0,3.7,NA,1688414959
100,gonabad,34.3529,58.6837,25.96,26,0,7.71,IR,1688414959
101,sitka,57.0531,-135.33,16.94,67,20,2.57,US,1688414715
102,toliara,-23.35,43.6667,20.75,53,0,5.23,MG,1688414960
103,opochka,56.7105,28.6617,15.0,60,20,4.09,RU,1688414960
104,vilyuchinsk,52.9306,158.4028,14.15,93,97,0.57,RU,1688414961
105,enewetak,11.3474,162.3373,28.26,77,46,7.79,MH,1688414961
106,bel ombre,-4.6167,55.4167,25.62,77,47,9.48,SC,1688414961
107,ercis,39.0287,43.3586,18.75,50,3,2.15,TR,1688414961
108,hamilton,39.1834,-84.5333,28.47,74,100,6.69,US,1688414962
109,linqu,36.5156,118.5397,25.63,95,100,2.88,CN,1688414962
110,ma'an,26.9775,110.7211,25.49,87,96,1.69,CN,1688414962
111,coquimbo,-29.9533,-71.3436,16.85,63,0,5.66,CL,1688414672
112,lashio,22.9333,97.75,21.07,99,100,0.39,MM,1688414963
113,red bluff,40.1785,-122.2358,40.21,19,0,3.09,US,1688414668
114,tazovsky,67.4667,78.7,14.3,74,100,4.87,RU,1688414963
115,arafat,21.3594,39.9664,32.95,26,64,2.21,SA,1688414964
116,moose jaw,50.4001,-105.5344,21.28,35,92,9.03,CA,1688414964
117,tomatlan,19.9333,-105.25,34.14,50,83,6.04,MX,1688414964
118,margaret river,-33.95,115.0667,11.63,68,100,11.53,AU,1688414965
119,san patricio,28.017,-97.5169,36.4,40,99,7.0,US,1688414965
120,bilibino,68.0546,166.4372,11.07,95,100,1.58,RU,1688414965
121,vilyuysk,63.7553,121.6247,16.24,76,100,3.03,RU,1688414966
122,khamis mushait,18.3064,42.7292,24.58,38,20,2.57,SA,1688414966
123,ploneour-lanvern,47.9,-4.2833,17.18,67,0,3.09,FR,1688414966
124,fyodorovka,53.6314,62.7078,16.71,93,65,3.85,KZ,1688414967
125,rongelap,11.1635,166.8941,28.22,77,21,8.26,MH,1688414967
126,kaset wisai,15.6556,103.5836,27.41,88,100,5.11,TH,1688414968
127,brzozow,49.695,22.0193,17.46,62,93,1.47,PL,1688414968
128,atafu village,-8.5421,-172.5159,28.29,74,97,6.85,TK,1688414968
129,tura,25.5198,90.2201,23.44,97,75,1.56,IN,1688414969
130,galax,36.6612,-80.924,28.41,67,75,3.09,US,1688414765
131,la cruz,23.9167,-106.9,31.53,63,95,4.84,MX,1688414969
132,port elizabeth,-33.918,25.5701,13.51,94,20,3.6,ZA,1688414969
133,southampton,50.904,-1.4043,17.81,61,20,3.6,GB,1688414908
134,yinchuan,38.4681,106.2731,20.94,34,0,4.77,CN,1688414946
135,champerico,14.3,-91.9167,29.52,68,99,2.78,GT,1688414970
136,port lincoln,-34.7333,135.8667,9.21,79,0,3.26,AU,1688414971
137,wailua homesteads,22.0669,-159.378,27.44,79,75,3.6,US,1688414972
138,jamestown,42.097,-79.2353,23.8,88,75,4.12,US,1688414892
139,phan rang-thap cham,11.5667,108.9833,25.2,87,100,1.6,VN,1688414973
140,arkhangel'sk,64.5401,40.5433,13.49,97,100,2.9,RU,1688414818
141,la passe,45.5549,-0.8967,22.13,90,2,3.19,FR,1688414974
142,nar'yan-mar,67.6713,53.087,14.46,97,83,3.78,RU,1688414974
143,val-des-monts,45.6501,-75.666,28.75,82,100,1.38,CA,1688414837
144,kirakira,-10.4544,161.9205,26.82,84,100,6.76,SB,1688414975
145,guarapari,-20.6667,-40.4975,21.05,58,100,6.37,BR,1688414975
146,guerrero negro,27.9769,-114.0611,23.27,57,6,6.14,MX,1688414976
147,tolanaro,-25.0319,46.9987,17.58,79,1,4.32,MG,1688414976
148,zavetnoye,47.1194,43.8903,25.83,49,32,2.7,RU,1688414976
149,nizhniy kuranakh,58.8353,125.4869,17.0,94,17,0.26,RU,1688414976
150,babana,10.4295,3.815,27.59,67,28,2.37,NG,1688414977
151,avarua,-21.2078,-159.775,26.03,89,30,2.06,CK,1688414977
152,kalispell,48.1958,-114.3129,26.27,23,20,2.06,US,1688414765
153,east ballina,-28.8667,153.5833,14.33,90,100,2.43,AU,1688414977
154,deland,29.0283,-81.3031,37.91,58,40,6.17,US,1688414978
155,mao,39.8885,4.2658,25.31,78,20,3.09,ES,1688414978
156,okhotsk,59.3833,143.3,13.17,87,45,2.39,RU,1688414978
157,bria,6.5423,21.9863,21.43,95,99,0.77,CF,1688414979
158,bahir dar,11.5936,37.3908,16.95,89,90,1.46,ET,1688414979
159,mcminnville,45.2101,-123.1987,30.68,26,0,6.17,US,1688414979
160,kone,-21.0595,164.8658,17.42,80,100,2.38,NC,1688414979
161,san antonio de pale,-1.4014,5.6325,23.72,88,100,5.07,GQ,1688414980
162,soto la marina,23.7667,-98.2167,39.7,26,0,7.29,MX,1688414980
163,siguiri,11.6667,-9.5,27.04,74,73,2.47,GN,1688414981
164,arkalyk,50.2486,66.9114,19.11,58,62,1.37,KZ,1688414981
165,traben-trarbach,49.95,7.1167,21.3,59,20,3.6,DE,1688414981
166,olinda,-8.0089,-34.8553,25.85,78,75,6.69,BR,1688414981
167,nemuro,43.3236,145.575,12.58,100,100,2.65,JP,1688414982
168,katima mulilo,-17.5,24.2667,14.41,44,3,2.8,NA,1688414982
169,punta arenas,-53.15,-70.9167,5.06,65,40,4.12,CL,1688414982
170,as sulayyil,20.4607,45.5779,34.57,11,60,4.26,SA,1688414983
171,prince george,53.9166,-122.753,21.25,52,49,2.32,CA,1688414805
172,trondheim,63.4305,10.3951,15.03,81,100,2.32,NO,1688414983
173,loukhi,66.0764,33.0381,10.72,67,100,3.05,RU,1688414983
174,'ain el melh,34.8415,4.1638,30.26,16,0,1.55,DZ,1688414983
175,susuman,62.7833,148.1667,24.97,46,12,2.92,RU,1688414984
176,priozersk,61.0393,30.1291,13.86,96,100,5.56,RU,1688414984
177,conduaga,8.862,117.4893,24.78,93,100,0.74,PH,1688414984
178,axim,4.8699,-2.2405,24.61,89,35,1.89,GH,1688414984
179,vernon,50.2581,-119.2691,27.74,21,40,0.45,CA,1688414985
180,mata-utu,-13.2816,-176.1745,27.62,68,9,7.55,WF,1688414985
181,portland,45.5234,-122.6762,29.75,34,0,3.6,US,1688414341
182,keflavik,64.0049,-22.5624,13.24,58,0,9.26,IS,1688414985
183,pimenta bueno,-11.6725,-61.1936,32.33,27,2,1.41,BR,1688414986
184,uruzgan,32.8333,66.0,26.33,15,0,1.64,AF,1688414986
185,isafjordur,66.0755,-23.124,10.05,60,88,5.49,IS,1688414986
186,garrucha,37.1874,-1.8349,26.37,66,0,1.86,ES,1688414986
187,kununurra,-15.7667,128.7333,15.99,77,75,1.54,AU,1688414831
188,minas de marcona,-15.2119,-75.1103,17.81,62,8,4.81,PE,1688414987
189,inhambane,-23.865,35.3833,18.99,88,20,1.54,MZ,1688414774
190,saipan,15.1355,145.701,27.39,100,40,2.06,MP,1688414988
191,gongzhuling,43.5008,124.8198,21.11,74,100,2.87,CN,1688414988
192,manfalut,27.3104,30.97,32.74,19,0,4.25,EG,1688414988
193,usogorsk,63.4106,48.6872,14.78,95,100,3.13,RU,1688414988
194,merritt,50.1123,-120.7942,23.51,25,9,2.24,CA,1688414789
195,ozu,33.5,132.55,20.1,96,98,1.06,JP,1688414989
196,cabedelo,-6.9811,-34.8339,25.37,84,95,7.12,BR,1688414989
197,aqadyr,48.2553,72.8483,20.59,44,28,3.66,KZ,1688414989
198,shirwal,18.1333,73.9833,23.76,92,94,3.17,IN,1688414990
199,lata,40.1629,-8.3327,18.93,81,12,2.34,PT,1688414990
200,tabou,4.423,-7.3528,24.72,83,14,2.52,CI,1688414990
201,sisimiut,66.9395,-53.6735,8.29,81,100,4.46,GL,1688414990
202,beyneu,45.3167,55.2,27.47,32,13,4.35,KZ,1688414991
203,sakaiminato,35.55,133.2333,22.21,93,7,3.52,JP,1688414991
204,claveria,18.6074,121.0832,27.02,87,83,0.76,PH,1688414991
205,papao,-17.75,-149.55,28.82,80,83,9.22,PF,1688414992
206,herceg novi,42.4531,18.5375,26.49,88,0,0.0,ME,1688414992
207,hays,30.0502,-98.0336,36.03,26,98,3.77,US,1688414992
208,pematangsiantar,2.9595,99.0687,22.12,97,81,1.38,ID,1688414992
209,rafsanjan,30.4067,55.9939,33.52,12,64,1.54,IR,1688414993
210,sulak,43.2734,47.5146,22.76,82,1,4.92,RU,1688414993
211,panaba,21.2833,-88.2667,31.53,62,97,4.91,MX,1688414994
212,afaahiti,-17.75,-149.2833,27.93,81,72,8.47,PF,1688414994
213,happy valley-goose bay,53.3168,-60.3315,22.17,78,75,0.0,CA,1688414995
214,sao vicente,-23.9631,-46.3919,22.21,26,31,0.89,BR,1688414996
215,udachny,66.4167,112.4,8.03,81,33,2.05,RU,1688414996
216,murzuq,25.9155,13.9184,35.23,13,0,3.35,LY,1688414996
217,inarajan village,13.2736,144.7484,28.54,91,100,3.51,GU,1688414997
218,saldanha,-33.0117,17.9442,13.77,88,10,5.06,ZA,1688414997
219,hawaiian paradise park,19.5933,-154.9731,26.73,79,75,5.66,US,1688414997
220,nadi,-17.8,177.4167,23.0,73,40,2.57,FJ,1688414998
221,urayasu,35.6706,139.8886,26.16,87,40,5.66,JP,1688414823
222,al jawf,29.5,38.75,30.58,14,0,4.03,SA,1688414998
